# Rime user dictionary
#@/db_name	pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	2113
#@/user_id	6a1fb6ce-71d4-4c3d-8498-654831c224b0
kan le 	看了	c=1 d=1 t=2100
kan qi lai 	看起来	c=2 d=0.831027 t=2113
ke 	可	c=2 d=0.585729 t=2113
ke bu xing 	可不行	c=1 d=0.408608 t=2113
ke cheng 	课程	c=1 d=0.0169922 t=2113
ke fu 	客服	c=4 d=1.53196 t=2113
ke neng 	可能	c=2 d=0.447982 t=2113
ke shi 	可是	c=1 d=0.0273237 t=2113
ke yi 	可以	c=9 d=0.179253 t=2113
ken ding 	肯定	c=4 d=0.198466 t=2113
kong ge 	空格	c=1 d=0.995012 t=2113
kong tiao 	空调	c=2 d=1.74399 t=2113
kou wei 	口味	c=2 d=0.0273146 t=2113
ku zi 	裤子	c=1 d=0.0127784 t=2113
kuai 	块	c=3 d=1.70404 t=2113
kuai 	快	c=5 d=1.02489 t=2113
kuai de 	快的	c=1 d=0.0185924 t=2113
kuai di 	快递	c=2 d=0.0982736 t=2113
kuai dian 	快点	c=1 d=0.0291588 t=2113
kuai lai 	快来	c=1 d=0.0403566 t=2113
kuai qu 	快去	c=1 d=0.0176857 t=2113
kuang 	狂	c=0 d=0.0256661 t=2113
kuang mo 	狂魔	c=2 d=0.0900542 t=2113
kui 	亏	c=1 d=0.108609 t=2113
la ji 	垃圾	c=2 d=0.43614 t=2113
lai 	来	c=10 d=2.38852 t=2113
lai dian 	来点	c=1 d=0.0234005 t=2113
lai lai 	来来	c=1 d=0.0325493 t=2113
lan 	懒	c=1 d=0.0665368 t=2113
lan 	烂	c=2 d=0.407484 t=2113
lan ren 	懒人	c=1 d=0.965605 t=2113
lao 	老	c=5 d=2.63169 t=2113
lao shi 	老实	c=0 d=0.0137381 t=2113
lao si ji 	老司机	c=3 d=0.491868 t=2113
le 	了	c=116 d=22.1802 t=2113
lei 	累	c=1 d=0.0203434 t=2113
leng 	冷	c=1 d=0.755784 t=2113
li 	里	c=2 d=1.138 t=2113
li hai 	厉害	c=1 d=0.0119742 t=2113
li hun 	离婚	c=1 d=0.45612 t=2113
lia zi 	俩字	c=1 d=0.115325 t=2113
lian 	脸	c=1 d=0.0231676 t=2113
lian xiang 	联想	c=2 d=1.90362 t=2113
liang shen 	量身	c=0 d=0.0205975 t=2113
liang shen ding zhi 	量身定制	c=1 d=0.207008 t=2113
liang shui 	凉水	c=1 d=0.343009 t=2113
lie ren 	猎人	c=1 d=0.0149956 t=2113
lin dan 	林丹	c=2 d=0.0225956 t=2113
ling 	领	c=1 d=0.878095 t=2113
ling dao 	领导	c=2 d=0.0992559 t=2113
ling hun 	灵魂	c=1 d=0.155673 t=2113
ling xia 	零下	c=1 d=0.67032 t=2113
liu de hua 	刘德华	c=1 d=0.0222592 t=2113
liu lan 	浏览	c=1 d=0.412714 t=2113
liu liang 	流量	c=1 d=0.0380064 t=2113
long 	龙	c=2 d=0.0228627 t=2113
lou chu 	露出	c=1 d=0.226502 t=2113
lu shi 	炉石	c=5 d=0.450416 t=2113
lu shi 	路是	c=1 d=0.0359725 t=2113
luan dou 	乱斗	c=1 d=0.0884781 t=2113
luo ye 	落叶	c=0 d=0.0318224 t=2113
